AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	collection_date	label	dogname	rep	food	additive	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biome	breed	disease	disease_stage	geographic_location	health_state	phenotype	sample_type	sex	tissue
545	SAMN01889107	SRX220100	7	18	SRR653240	SRS387681	Camilla-1BeefInulin.454Reads.sff	6	26-Jun-09	Camilla-1BeefInulin	Camilla	1	beef	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
542	SAMN01889108	SRX220101	6	15	SRR653241	SRS387682	Camilla-2BeefYCW.454Reads.sff	6	17-Jul-09	Camilla-2BeefYCW	Camilla	2	beef	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
544	SAMN01889110	SRX220103	7	17	SRR653243	SRS387684	Camilla-4ChickenYCW.454Reads.sff	6	28-Aug-09	Camilla-4ChickenYCW	Camilla	4	chicken	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
544	SAMN01889112	SRX220105	6	14	SRR653245	SRS387686	Camilla-6BeefControl.454Reads.sff	6	9-Oct-09	Camilla-6BeefControl	Camilla	6	beef	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
543	SAMN01889114	SRX220107	5	13	SRR653247	SRS387688	Coco-1BeefYCW.454Reads.sff	5.5	26-Jun-09	Coco-1BeefYCW	Coco	1	beef	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
543	SAMN01889115	SRX220108	6	16	SRR653248	SRS387689	Coco-2ChickenYCW.454Reads.sff	5.5	17-Jul-09	Coco-2ChickenYCW	Coco	2	chicken	YCW	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
540	SAMN01889117	SRX220110	7	16	SRR653250	SRS387691	Coco-4BeefControl.454Reads.sff	5.5	28-Aug-09	Coco-4BeefControl	Coco	4	beef	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
533	SAMN01889119	SRX220112	2	6	SRR653252	SRS387693	Coco-6ChickenControl.454Reads.sff	5.5	9-Oct-09	Coco-6ChickenControl	Coco	6	chicken	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
541	SAMN01889109	SRX220102	5	12	SRR653242	SRS387683	Camilla-3ChickenInulin.454Reads.sff	6	7-Aug-09	Camilla-3ChickenInulin	Camilla	3	chicken	inulin	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
540	SAMN01889111	SRX220104	7	16	SRR653244	SRS387685	Camilla-5ChickenControl.454Reads.sff	6	18-Sep-09	Camilla-5ChickenControl	Camilla	5	chicken	none	AMPLICON	PRJNA186650	UIUC	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	Swanson Canine Raw Diets	1/28/13	gut metagenome	LS454	1/29/13	SRP018243	gut	beagle	none	none	"USA: Urbana, IL"	healthy	healthy	feces	F	feces
